1,0,1,0,1,0,1,0
2,80,2,90,2,75,2,87
3,58,3,53,3,55,3,55
4,50,4,50,4,50,4,50
5,50,5,50,5,53,5,50
6,50,6,50,6,54,6,50
7,50,7,57,7,52,7,50
8,53,8,45,8,50,8,50
9,54,9,56,9,50,9,50
10,52,10,45,10,50,10,50
11,50,11,58,11,57,11,50
12,50,12,46,12,54,12,50
13,55,13,57,13,50,13,50
14,51,14,45,14,50,14,50
15,50,15,50,15,50,15,50
16,50,16,50,16,50,16,50
17,50,17,50,17,53,17,50
18,50,18,50,18,47,18,50
19,50,19,50,19,50,19,50
20,50,20,53,20,50,20,50
21,50,21,47,21,50,21,54
22,50,22,53,22,50,22,54
23,50,23,47,23,57,23,55
24,50,24,52,24,50,24,50
25,50,25,48,25,50,25,50
26,50,26,50,26,55,26,50
27,50,27,50,27,50,27,50
28,50,28,50,28,50,28,50
29,50,29,50,29,50,29,50
30,50,30,50,30,50,30,50
