1,0,1,0,1,0,1,0,1,0,1,0
2,78,2,80,2,60,2,89,2,89,2,72
3,58,3,70,3,58,3,56,3,52,3,58
4,50,4,50,4,50,4,50,4,50,4,50
5,50,5,50,5,50,5,50,5,50,5,50
6,50,6,50,6,50,6,50,6,50,6,58
7,50,7,50,7,51,7,50,7,52,7,50
8,56,8,51,8,50,8,50,8,51,8,50
9,50,9,55,9,50,9,50,9,52,9,50
10,50,10,48,10,50,10,54,10,48,10,50
11,58,11,51,11,50,11,50,11,47,11,50
12,50,12,52,12,50,12,50,12,51,12,50
13,50,13,58,13,50,13,50,13,50,13,58
14,50,14,50,14,50,14,50,14,57,14,50
15,50,15,50,15,50,15,50,15,50,15,50
16,50,16,50,16,50,16,50,16,46,16,50
17,50,17,50,17,48,17,50,17,47,17,50
18,48,18,46,18,50,18,50,18,52,18,50
19,47,19,48,19,50,19,47,19,53,19,50
20,51,20,51,20,50,20,50,20,53,20,50
21,51,21,53,21,53,21,50,21,48,21,50
22,52,22,50,22,50,22,50,22,47,22,50
23,50,23,50,23,50,23,50,23,50,23,46
24,50,24,50,24,50,24,50,24,50,24,50
25,50,25,50,25,50,25,50,25,50,25,51
26,50,26,50,26,54,26,50,26,45,26,50
27,50,27,50,27,50,27,48,27,50,27,50
28,50,28,50,28,50,28,50,28,50,28,50
29,50,29,50,29,57,29,50,29,50,29,50
30,50,30,50,30,50,30,50,30,50,30,50
1,0,1,0,1,0,1,0,1,0,1,0
2,80,2,93,2,90,2,60,2,71,2,89
3,70,3,51,3,80,3,55,3,65,3,79
4,50,4,50,4,50,4,50,4,50,4,50
5,51,5,50,5,52,5,50,5,50,5,50
6,50,6,51,6,50,6,50,6,52,6,50
7,50,7,45,7,50,7,52,7,50,7,46
8,50,8,50,8,50,8,53,8,50,8,47
9,50,9,50,9,50,9,55,9,50,9,45
10,58,10,50,10,50,10,50,10,49,10,50
11,58,11,50,11,50,11,50,11,50,11,50
12,52,12,50,12,50,12,50,12,50,12,50
13,51,13,45,13,55,13,50,13,51,13,51
14,49,14,45,14,50,14,50,14,53,14,49
15,46,15,50,15,50,15,50,15,50,15,50
